PRODID	REGIONID	STDPRICE	MINPRICE	STARTDATE	ENDDATE
100860	101	130	124	2002-01-01	2002-12-31
100860	102	132	125.6	2002-01-01	2003-05-31
100860	103	135	128	2003-06-01	
100861	105	239	231.2	2002-01-01	2002-12-31
100861	107	242	233.6	2003-01-01	2003-05-31
100861	106	245	236	2003-06-01	
100870	104	122.8	122.4	2003-01-01	
100871	101	154	153.2	2002-01-01	2002-12-31
100890	108	445	440.5	2003-06-01	2003-07-31
100890	105	449.7	446.4	2002-01-01	
101863	102	98.0	99.1	2002-04-01	2003-03-15
102130	103	178.9	182.5	2002-07-01	2003-04-12
